 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
31.00   31.00   201.00   201.00   2.000E-01   1.500E-01   2.168E-01    1.645E-07     9.744E-01      0.000E+00     0.000E+00     1.664E-01      0      0    1.000      3        1    -0.021    0.000 
32.00   32.00   201.00   201.00   2.000E-01   1.500E-01   2.080E-01    1.542E-07     9.742E-01      0.000E+00     0.000E+00     1.646E-01      0      0    1.000      3        1    -0.021    0.000 
33.00   33.00   201.00   201.00   2.000E-01   1.500E-01   1.991E-01    1.448E-07     9.739E-01      0.000E+00     0.000E+00     1.628E-01      0      0    1.000      3        1    -0.021    0.000 
34.00   34.00   201.00   201.00   2.000E-01   1.500E-01   1.900E-01    1.362E-07     9.736E-01      0.000E+00     0.000E+00     1.609E-01      0      0    1.000      3        1    -0.021    0.000 
35.00   35.00   201.00   201.00   2.000E-01   1.500E-01   1.808E-01    1.284E-07     9.732E-01      0.000E+00     0.000E+00     1.589E-01      0      0    1.000      3        1    -0.021    0.000 
36.00   36.00   201.00   201.00   2.000E-01   1.500E-01   1.715E-01    1.212E-07     9.729E-01      0.000E+00     0.000E+00     1.569E-01      0      0    1.000      3        1    -0.021    0.000 
37.00   37.00   201.00   201.00   2.000E-01   1.500E-01   1.622E-01    1.146E-07     9.725E-01      0.000E+00     0.000E+00     1.547E-01      0      0    1.000      3        1    -0.021    0.000 
38.00   38.00   201.00   201.00   2.000E-01   1.500E-01   1.528E-01    1.085E-07     9.721E-01      0.000E+00     0.000E+00     1.525E-01      0      0    1.000      3        1    -0.020    0.000 
39.00   39.00   201.00   201.00   2.000E-01   1.500E-01   1.434E-01    1.029E-07     9.717E-01      0.000E+00     0.000E+00     1.501E-01      0      0    1.000      3        1    -0.020    0.000 
40.00   40.00   201.00   201.00   2.000E-01   1.500E-01   1.341E-01    9.771E-08     9.712E-01      0.000E+00     0.000E+00     1.477E-01      0      0    1.000      3        1    -0.020    0.000 
41.00   41.00   201.00   201.00   2.000E-01   1.500E-01   1.248E-01    9.289E-08     9.707E-01      0.000E+00     0.000E+00     1.452E-01      0      0    1.000      3        1    -0.020    0.000 
42.00   42.00   201.00   201.00   2.000E-01   1.500E-01   1.155E-01    8.842E-08     9.701E-01      0.000E+00     0.000E+00     1.425E-01      0      0    1.000      3        1    -0.020    0.000 
43.00   43.00   201.00   201.00   2.000E-01   1.500E-01   1.064E-01    8.425E-08     9.696E-01      0.000E+00     0.000E+00     1.397E-01      0      0    1.000      3        1    -0.020    0.000 
44.00   44.00   201.00   201.00   2.000E-01   1.500E-01   9.734E-02    8.038E-08     9.689E-01      0.000E+00     0.000E+00     1.368E-01      0      0    1.000      3        1    -0.020    0.000 
45.00   45.00   201.00   201.00   2.000E-01   1.500E-01   8.847E-02    7.676E-08     9.682E-01      0.000E+00     0.000E+00     1.338E-01      0      0    1.000      3        1    -0.020    0.000 
46.00   46.00   201.00   201.00   2.000E-01   1.500E-01   7.979E-02    7.338E-08     9.674E-01      0.000E+00     0.000E+00     1.306E-01      0      0    1.000      3        1    -0.020    0.000 
47.00   47.00   201.00   201.00   2.000E-01   1.500E-01   7.126E-02    7.021E-08     9.666E-01      0.000E+00     0.000E+00     1.273E-01      0      0    1.000      3        1    -0.020    0.000 
48.00   48.00   201.00   201.00   2.000E-01   1.500E-01   6.253E-02    6.725E-08     9.656E-01      0.000E+00     0.000E+00     1.238E-01      0      0    1.000      3        1    -0.020    0.000 
