    Mh1      lim inf      Omega     lim sup  
1.740E+02  1.060E-01  1.120E-01  1.180E-01
1.750E+02  1.060E-01  1.120E-01  1.180E-01
1.760E+02  1.060E-01  1.120E-01  1.180E-01
1.770E+02  1.060E-01  1.120E-01  1.180E-01
1.780E+02  1.060E-01  1.120E-01  1.180E-01
1.790E+02  1.060E-01  1.120E-01  1.180E-01
1.800E+02  1.060E-01  1.120E-01  1.180E-01
1.810E+02  1.060E-01  1.120E-01  1.180E-01
1.820E+02  1.060E-01  1.120E-01  1.180E-01
1.830E+02  1.060E-01  1.120E-01  1.180E-01
1.840E+02  1.060E-01  1.120E-01  1.180E-01
1.850E+02  1.060E-01  1.120E-01  1.180E-01
1.860E+02  1.060E-01  1.120E-01  1.180E-01
1.870E+02  1.060E-01  1.120E-01  1.180E-01
1.880E+02  1.060E-01  1.120E-01  1.180E-01
1.890E+02  1.060E-01  1.120E-01  1.180E-01
1.900E+02  1.060E-01  1.120E-01  1.180E-01
1.910E+02  1.060E-01  1.120E-01  1.180E-01
1.920E+02  1.060E-01  1.120E-01  1.180E-01
1.930E+02  1.060E-01  1.120E-01  1.180E-01
1.940E+02  1.060E-01  1.120E-01  1.180E-01
1.950E+02  1.060E-01  1.120E-01  1.180E-01
1.960E+02  1.060E-01  1.120E-01  1.180E-01
1.970E+02  1.060E-01  1.120E-01  1.180E-01
1.980E+02  1.060E-01  1.120E-01  1.180E-01
1.990E+02  1.060E-01  1.120E-01  1.180E-01
2.000E+02  1.060E-01  1.120E-01  1.180E-01
