 Mh1    Mh2      cs_(fb)   
 92.0    93.0    9.5648E+00 
 93.0    94.0    9.2606E+00 
 94.0    95.0    8.9738E+00 
 95.0    96.0    8.6740E+00 
 96.0    97.0    8.4089E+00 
 97.0    98.0    8.1478E+00 
 98.0    99.0    7.9041E+00 
 99.0    100.0    7.6654E+00 
 100.0    101.0    7.4346E+00 
 101.0    102.0    7.2102E+00 
 102.0    103.0    6.9927E+00 
 103.0    104.0    6.7964E+00 
 104.0    105.0    6.5839E+00 
 105.0    106.0    6.4027E+00 
 106.0    107.0    6.2140E+00 
 107.0    108.0    6.0417E+00 
 108.0    109.0    5.8671E+00 
 109.0    110.0    5.7059E+00 
 110.0    111.0    5.5490E+00 
 111.0    112.0    5.3907E+00 
 112.0    113.0    5.2495E+00 
 113.0    114.0    5.1055E+00 
 114.0    115.0    4.9695E+00 
 115.0    116.0    4.8363E+00 
 116.0    117.0    4.7023E+00 
 117.0    118.0    4.5819E+00 
 118.0    119.0    4.4617E+00 
 119.0    120.0    4.3450E+00 
 120.0    121.0    4.2311E+00 
 121.0    122.0    4.1226E+00 
 122.0    123.0    4.0201E+00 
 123.0    124.0    3.9153E+00 
 124.0    125.0    3.8188E+00 
 125.0    126.0    3.7253E+00 
 126.0    127.0    3.6308E+00 
 127.0    128.0    3.5415E+00 
 128.0    129.0    3.4570E+00 
 129.0    130.0    3.3712E+00 
 130.0    131.0    3.2869E+00 
 131.0    132.0    3.2110E+00 
 132.0    133.0    3.1332E+00 
 133.0    134.0    3.0557E+00 
 134.0    135.0    2.9844E+00 
 135.0    136.0    2.9135E+00 
 136.0    137.0    2.8470E+00 
 137.0    138.0    2.7796E+00 
 138.0    139.0    2.7175E+00 
 139.0    140.0    2.6534E+00 
 140.0    141.0    2.5914E+00 
 141.0    142.0    2.5315E+00 
 142.0    143.0    2.4735E+00 
 143.0    144.0    2.4179E+00 
 144.0    145.0    2.3650E+00 
 145.0    146.0    2.3113E+00 
 146.0    147.0    2.2591E+00 
 147.0    148.0    2.2085E+00 
 148.0    149.0    2.1603E+00 
 149.0    150.0    2.1149E+00 
 150.0    151.0    2.0695E+00 
 151.0    152.0    2.0242E+00 
 152.0    153.0    1.9790E+00 
 153.0    154.0    1.9373E+00 
 154.0    155.0    1.8957E+00 
 155.0    156.0    1.8544E+00 
 156.0    157.0    1.8140E+00 
 157.0    158.0    1.7780E+00 
 158.0    159.0    1.7400E+00 
 159.0    160.0    1.7044E+00 
 160.0    161.0    1.6695E+00 
 161.0    162.0    1.6348E+00 
 162.0    163.0    1.6007E+00 
 163.0    164.0    1.5685E+00 
 164.0    165.0    1.5357E+00 
 165.0    166.0    1.5044E+00 
 166.0    167.0    1.4750E+00 
 167.0    168.0    1.4440E+00 
 168.0    169.0    1.4148E+00 
 169.0    170.0    1.3875E+00 
 170.0    171.0    1.3597E+00 
 171.0    172.0    1.3323E+00 
 172.0    173.0    1.3049E+00 
 173.0    174.0    1.2805E+00 
 174.0    175.0    1.2544E+00 
 175.0    176.0    1.2318E+00 
 176.0    177.0    1.2066E+00 
 177.0    178.0    1.1830E+00 
 178.0    179.0    1.1615E+00 
 179.0    180.0    1.1385E+00 
 180.0    181.0    1.1164E+00 
 181.0    182.0    1.0950E+00 
 182.0    183.0    1.0742E+00 
 183.0    184.0    1.0550E+00 
 184.0    185.0    1.0341E+00 
 185.0    186.0    1.0155E+00 
 186.0    187.0    9.9517E-01 
 187.0    188.0    9.7598E-01 
 188.0    189.0    9.5901E-01 
 189.0    190.0    9.4248E-01 
 190.0    191.0    9.2350E-01 
 191.0    192.0    9.0682E-01 
 192.0    193.0    8.9042E-01 
 193.0    194.0    8.7398E-01 
 194.0    195.0    8.5816E-01 
 195.0    196.0    8.4254E-01 
 196.0    197.0    8.2792E-01 
 197.0    198.0    8.1287E-01 
 198.0    199.0    7.9829E-01 
 199.0    200.0    7.8429E-01 
 200.0    201.0    7.6897E-01 
