 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
82.00   83.00   83.00   1.000E-02   8.000E+00   6.353E-03    7.711E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
83.00   84.00   84.00   1.000E-02   8.000E+00   6.119E-03    7.522E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
84.00   85.00   85.00   1.000E-02   8.000E+00   5.961E-03    7.339E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
85.00   86.00   86.00   1.000E-02   8.000E+00   5.653E-03    7.164E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
86.00   87.00   87.00   1.000E-02   8.000E+00   5.589E-03    6.994E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
87.00   88.00   88.00   1.000E-02   8.000E+00   5.541E-03    6.830E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
88.00   89.00   89.00   1.000E-02   8.000E+00   5.495E-03    6.672E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
89.00   90.00   90.00   1.000E-02   8.000E+00   5.435E-03    6.520E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
90.00   91.00   91.00   1.000E-02   8.000E+00   5.339E-03    6.372E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
91.00   92.00   92.00   1.000E-02   8.000E+00   5.204E-03    6.229E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
92.00   93.00   93.00   1.000E-02   8.000E+00   5.077E-03    6.091E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
93.00   94.00   94.00   1.000E-02   8.000E+00   4.996E-03    5.958E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
94.00   95.00   95.00   1.000E-02   8.000E+00   4.951E-03    5.829E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
95.00   96.00   96.00   1.000E-02   8.000E+00   4.932E-03    5.704E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
96.00   97.00   97.00   1.000E-02   8.000E+00   4.931E-03    5.583E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
97.00   98.00   98.00   1.000E-02   8.000E+00   4.866E-03    5.465E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.001    0.000 
98.00   99.00   99.00   1.000E-02   8.000E+00   4.892E-03    5.352E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.001    0.000 
99.00   100.00   100.00   1.000E-02   8.000E+00   4.926E-03    5.242E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    0.005      1        1    -0.000    0.000 
