 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
55.00   55.00   201.00   201.00   2.000E-02   1.000E-03   2.254E-02    5.086E-10     1.725E-01      0.000E+00     0.000E+00     5.141E-03      1      1    1.225      3        1    -0.019    0.000 
56.00   56.00   201.00   201.00   2.000E-02   1.000E-03   1.008E-02    4.902E-10     1.631E-01      0.000E+00     0.000E+00     5.084E-03      1      1    1.225      3        1    -0.019    0.000 
57.00   57.00   201.00   201.00   2.000E-02   1.000E-03   4.348E-03    4.727E-10     1.525E-01      0.000E+00     0.000E+00     5.020E-03      1      1    1.225      3        1    -0.019    0.000 
58.00   58.00   201.00   201.00   2.000E-02   1.000E-03   1.801E-03    4.561E-10     1.405E-01      0.000E+00     0.000E+00     4.950E-03      1      1    1.225      3        1    -0.019    0.000 
59.00   59.00   201.00   201.00   2.000E-02   1.000E-03   7.124E-04    4.404E-10     1.265E-01      0.000E+00     0.000E+00     4.871E-03      1      1    1.225      3        1    -0.018    0.000 
60.00   60.00   201.00   201.00   2.000E-02   1.000E-03   2.656E-04    4.254E-10     1.094E-01      0.000E+00     0.000E+00     4.777E-03      1      1    1.225      3        1    -0.018    0.000 
61.00   61.00   201.00   201.00   2.000E-02   1.000E-03   9.087E-05    4.112E-10     8.722E-02      0.000E+00     0.000E+00     4.661E-03      1      1    1.225      3        1    -0.018    0.000 
62.00   62.00   201.00   201.00   2.000E-02   1.000E-03   2.578E-05    3.977E-10     5.248E-02      0.000E+00     0.000E+00     4.490E-03      1      1    1.225      3        1    -0.018    0.000 
63.00   63.00   201.00   201.00   2.000E-02   1.000E-03   2.645E-02    3.849E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.018    0.000 
64.00   64.00   201.00   201.00   2.000E-02   1.000E-03   8.029E-02    3.726E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.018    0.000 
65.00   65.00   201.00   201.00   2.000E-02   1.000E-03   1.135E-01    3.609E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.018    0.000 
66.00   66.00   201.00   201.00   2.000E-02   1.000E-03   1.269E-01    3.498E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.018    0.000 
67.00   67.00   201.00   201.00   2.000E-02   1.000E-03   1.273E-01    3.392E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.018    0.000 
68.00   68.00   201.00   201.00   2.000E-02   1.000E-03   1.200E-01    3.290E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.017    0.000 
69.00   69.00   201.00   201.00   2.000E-02   1.000E-03   1.092E-01    3.193E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.017    0.000 
70.00   70.00   201.00   201.00   2.000E-02   1.000E-03   9.664E-02    3.100E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.017    0.000 
71.00   71.00   201.00   201.00   2.000E-02   1.000E-03   8.359E-02    3.011E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.017    0.000 
72.00   72.00   201.00   201.00   2.000E-02   1.000E-03   7.073E-02    2.925E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.017    0.000 
73.00   73.00   201.00   201.00   2.000E-02   1.000E-03   5.849E-02    2.844E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.017    0.000 
74.00   74.00   201.00   201.00   2.000E-02   1.000E-03   4.711E-02    2.765E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.017    0.000 
75.00   75.00   201.00   201.00   2.000E-02   1.000E-03   3.688E-02    2.690E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.017    0.000 
76.00   76.00   201.00   201.00   2.000E-02   1.000E-03   2.788E-02    2.618E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.017    0.000 
77.00   77.00   201.00   201.00   2.000E-02   1.000E-03   2.033E-02    2.548E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.016    0.000 
78.00   78.00   201.00   201.00   2.000E-02   1.000E-03   1.417E-02    2.482E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.016    0.000 
79.00   79.00   201.00   201.00   2.000E-02   1.000E-03   9.704E-03    2.418E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.016    0.000 
80.00   80.00   201.00   201.00   2.000E-02   1.000E-03   6.564E-03    2.356E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.016    0.000 
81.00   81.00   201.00   201.00   2.000E-02   1.000E-03   4.811E-03    2.297E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.016    0.000 
82.00   82.00   201.00   201.00   2.000E-02   1.000E-03   3.918E-03    2.239E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.016    0.000 
83.00   83.00   201.00   201.00   2.000E-02   1.000E-03   3.385E-03    2.184E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.016    0.000 
84.00   84.00   201.00   201.00   2.000E-02   1.000E-03   3.042E-03    2.131E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.016    0.000 
85.00   85.00   201.00   201.00   2.000E-02   1.000E-03   2.762E-03    2.079E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.015    0.000 
86.00   86.00   201.00   201.00   2.000E-02   1.000E-03   2.576E-03    2.030E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.015    0.000 
87.00   87.00   201.00   201.00   2.000E-02   1.000E-03   2.414E-03    1.982E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.015    0.000 
88.00   88.00   201.00   201.00   2.000E-02   1.000E-03   2.263E-03    1.936E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.015    0.000 
89.00   89.00   201.00   201.00   2.000E-02   1.000E-03   2.122E-03    1.891E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.015    0.000 
90.00   90.00   201.00   201.00   2.000E-02   1.000E-03   1.970E-03    1.848E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.015    0.000 
91.00   91.00   201.00   201.00   2.000E-02   1.000E-03   1.816E-03    1.807E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.015    0.000 
92.00   92.00   201.00   201.00   2.000E-02   1.000E-03   1.685E-03    1.766E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.015    0.000 
93.00   93.00   201.00   201.00   2.000E-02   1.000E-03   1.586E-03    1.727E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.014    0.000 
94.00   94.00   201.00   201.00   2.000E-02   1.000E-03   1.508E-03    1.690E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.014    0.000 
95.00   95.00   201.00   201.00   2.000E-02   1.000E-03   1.446E-03    1.653E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.014    0.000 
96.00   96.00   201.00   201.00   2.000E-02   1.000E-03   1.394E-03    1.618E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.014    0.000 
97.00   97.00   201.00   201.00   2.000E-02   1.000E-03   1.347E-03    1.584E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.014    0.000 
98.00   98.00   201.00   201.00   2.000E-02   1.000E-03   1.312E-03    1.550E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.014    0.000 
99.00   99.00   201.00   201.00   2.000E-02   1.000E-03   1.282E-03    1.518E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.014    0.000 
100.00   100.00   201.00   201.00   2.000E-02   1.000E-03   1.255E-03    1.487E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.014    0.000 
101.00   101.00   201.00   201.00   2.000E-02   1.000E-03   1.231E-03    1.457E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.013    0.000 
102.00   102.00   201.00   201.00   2.000E-02   1.000E-03   1.209E-03    1.428E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.013    0.000 
103.00   103.00   201.00   201.00   2.000E-02   1.000E-03   1.189E-03    1.399E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.013    0.000 
104.00   104.00   201.00   201.00   2.000E-02   1.000E-03   1.171E-03    1.372E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.013    0.000 
105.00   105.00   201.00   201.00   2.000E-02   1.000E-03   1.155E-03    1.345E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.013    0.000 
106.00   106.00   201.00   201.00   2.000E-02   1.000E-03   1.141E-03    1.319E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.013    0.000 
107.00   107.00   201.00   201.00   2.000E-02   1.000E-03   1.129E-03    1.294E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.013    0.000 
108.00   108.00   201.00   201.00   2.000E-02   1.000E-03   1.117E-03    1.269E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.013    0.000 
109.00   109.00   201.00   201.00   2.000E-02   1.000E-03   1.108E-03    1.245E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.012    0.000 
110.00   110.00   201.00   201.00   2.000E-02   1.000E-03   1.100E-03    1.222E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.012    0.000 
111.00   111.00   201.00   201.00   2.000E-02   1.000E-03   1.089E-03    1.199E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.012    0.000 
112.00   112.00   201.00   201.00   2.000E-02   1.000E-03   1.080E-03    1.177E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.012    0.000 
113.00   113.00   201.00   201.00   2.000E-02   1.000E-03   1.075E-03    1.156E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.012    0.000 
114.00   114.00   201.00   201.00   2.000E-02   1.000E-03   1.072E-03    1.135E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.012    0.000 
115.00   115.00   201.00   201.00   2.000E-02   1.000E-03   1.069E-03    1.115E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.012    0.000 
116.00   116.00   201.00   201.00   2.000E-02   1.000E-03   1.067E-03    1.095E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.011    0.000 
117.00   117.00   201.00   201.00   2.000E-02   1.000E-03   1.066E-03    1.076E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.011    0.000 
118.00   118.00   201.00   201.00   2.000E-02   1.000E-03   1.065E-03    1.057E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.011    0.000 
119.00   119.00   201.00   201.00   2.000E-02   1.000E-03   1.066E-03    1.039E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.011    0.000 
120.00   120.00   201.00   201.00   2.000E-02   1.000E-03   1.067E-03    1.021E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.011    0.000 
121.00   121.00   201.00   201.00   2.000E-02   1.000E-03   1.068E-03    1.004E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.011    0.000 
122.00   122.00   201.00   201.00   2.000E-02   1.000E-03   1.071E-03    9.869E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.011    0.000 
123.00   123.00   201.00   201.00   2.000E-02   1.000E-03   1.022E-03    9.705E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.011    0.000 
124.00   124.00   201.00   201.00   2.000E-02   1.000E-03   1.026E-03    9.544E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.010    0.000 
125.00   125.00   201.00   201.00   2.000E-02   1.000E-03   1.030E-03    9.387E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.010    0.000 
126.00   126.00   201.00   201.00   2.000E-02   1.000E-03   1.034E-03    9.234E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.010    0.000 
127.00   127.00   201.00   201.00   2.000E-02   1.000E-03   1.037E-03    9.085E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.010    0.000 
128.00   128.00   201.00   201.00   2.000E-02   1.000E-03   1.043E-03    8.939E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.010    0.000 
129.00   129.00   201.00   201.00   2.000E-02   1.000E-03   1.047E-03    8.797E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.010    0.000 
130.00   130.00   201.00   201.00   2.000E-02   1.000E-03   1.055E-03    8.658E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.010    0.000 
131.00   131.00   201.00   201.00   2.000E-02   1.000E-03   1.063E-03    8.522E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.009    0.000 
132.00   132.00   201.00   201.00   2.000E-02   1.000E-03   1.071E-03    8.390E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.009    0.000 
133.00   133.00   201.00   201.00   2.000E-02   1.000E-03   1.081E-03    8.260E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.009    0.000 
134.00   134.00   201.00   201.00   2.000E-02   1.000E-03   1.091E-03    8.134E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.009    0.000 
135.00   135.00   201.00   201.00   2.000E-02   1.000E-03   1.101E-03    8.010E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.009    0.000 
136.00   136.00   201.00   201.00   2.000E-02   1.000E-03   1.113E-03    7.889E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.009    0.000 
137.00   137.00   201.00   201.00   2.000E-02   1.000E-03   1.125E-03    7.771E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.009    0.000 
138.00   138.00   201.00   201.00   2.000E-02   1.000E-03   1.138E-03    7.655E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.008    0.000 
139.00   139.00   201.00   201.00   2.000E-02   1.000E-03   1.152E-03    7.542E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    1.225      3        1    -0.008    0.000 
