 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
60.00   60.00   201.00   201.00   -5.000E-01   4.000E+00   3.194E-05    2.659E-07     9.871E-01      0.000E+00     0.000E+00     3.309E-01      0      0    -0.484      2        1    -0.018    0.000 
61.00   61.00   201.00   201.00   -5.000E-01   4.000E+00   8.750E-06    2.570E-07     9.835E-01      0.000E+00     0.000E+00     2.583E-01      0      0    -0.484      2        1    -0.018    0.000 
62.00   62.00   201.00   201.00   -5.000E-01   4.000E+00   1.491E-06    2.486E-07     9.719E-01      0.000E+00     0.000E+00     1.515E-01      0      0    -0.484      2        1    -0.018    0.000 
63.00   63.00   201.00   201.00   -5.000E-01   4.000E+00   5.914E-05    2.405E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.018    0.000 
64.00   64.00   201.00   201.00   -5.000E-01   4.000E+00   2.820E-04    2.329E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.018    0.000 
65.00   65.00   201.00   201.00   -5.000E-01   4.000E+00   6.117E-04    2.256E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.018    0.000 
66.00   66.00   201.00   201.00   -5.000E-01   4.000E+00   1.024E-03    2.186E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.018    0.000 
67.00   67.00   201.00   201.00   -5.000E-01   4.000E+00   1.498E-03    2.120E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.018    0.000 
68.00   68.00   201.00   201.00   -5.000E-01   4.000E+00   2.015E-03    2.056E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.017    0.000 
69.00   69.00   201.00   201.00   -5.000E-01   4.000E+00   2.554E-03    1.995E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.017    0.000 
70.00   70.00   201.00   201.00   -5.000E-01   4.000E+00   3.092E-03    1.937E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.017    0.000 
71.00   71.00   201.00   201.00   -5.000E-01   4.000E+00   3.613E-03    1.882E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.017    0.000 
72.00   72.00   201.00   201.00   -5.000E-01   4.000E+00   4.087E-03    1.828E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.017    0.000 
73.00   73.00   201.00   201.00   -5.000E-01   4.000E+00   4.486E-03    1.777E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.017    0.000 
74.00   74.00   201.00   201.00   -5.000E-01   4.000E+00   4.768E-03    1.728E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.017    0.000 
75.00   75.00   201.00   201.00   -5.000E-01   4.000E+00   4.891E-03    1.681E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.017    0.000 
76.00   76.00   201.00   201.00   -5.000E-01   4.000E+00   4.807E-03    1.636E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.017    0.000 
77.00   77.00   201.00   201.00   -5.000E-01   4.000E+00   4.495E-03    1.593E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.016    0.000 
78.00   78.00   201.00   201.00   -5.000E-01   4.000E+00   3.934E-03    1.551E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.016    0.000 
79.00   79.00   201.00   201.00   -5.000E-01   4.000E+00   3.271E-03    1.511E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.016    0.000 
80.00   80.00   201.00   201.00   -5.000E-01   4.000E+00   2.623E-03    1.472E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.016    0.000 
81.00   81.00   201.00   201.00   -5.000E-01   4.000E+00   2.240E-03    1.435E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.016    0.000 
82.00   82.00   201.00   201.00   -5.000E-01   4.000E+00   2.112E-03    1.400E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.016    0.000 
83.00   83.00   201.00   201.00   -5.000E-01   4.000E+00   2.117E-03    1.365E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.016    0.000 
84.00   84.00   201.00   201.00   -5.000E-01   4.000E+00   2.193E-03    1.332E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.016    0.000 
85.00   85.00   201.00   201.00   -5.000E-01   4.000E+00   2.309E-03    1.300E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.015    0.000 
86.00   86.00   201.00   201.00   -5.000E-01   4.000E+00   2.480E-03    1.269E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.015    0.000 
87.00   87.00   201.00   201.00   -5.000E-01   4.000E+00   2.678E-03    1.239E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.015    0.000 
88.00   88.00   201.00   201.00   -5.000E-01   4.000E+00   2.894E-03    1.210E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.015    0.000 
89.00   89.00   201.00   201.00   -5.000E-01   4.000E+00   3.127E-03    1.182E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.015    0.000 
90.00   90.00   201.00   201.00   -5.000E-01   4.000E+00   3.356E-03    1.155E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.015    0.000 
91.00   91.00   201.00   201.00   -5.000E-01   4.000E+00   3.585E-03    1.129E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.015    0.000 
92.00   92.00   201.00   201.00   -5.000E-01   4.000E+00   3.847E-03    1.104E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.015    0.000 
93.00   93.00   201.00   201.00   -5.000E-01   4.000E+00   4.169E-03    1.080E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.014    0.000 
94.00   94.00   201.00   201.00   -5.000E-01   4.000E+00   4.556E-03    1.056E-07     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.484      2        1    -0.014    0.000 
