 Mh1       Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
66.00   67.00   67.00   -1.000E-02   8.000E+00   6.854E-03    1.201E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
67.00   68.00   68.00   -1.000E-02   8.000E+00   7.087E-03    1.165E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
68.00   69.00   69.00   -1.000E-02   8.000E+00   7.314E-03    1.130E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
69.00   70.00   70.00   -1.000E-02   8.000E+00   7.536E-03    1.097E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
70.00   71.00   71.00   -1.000E-02   8.000E+00   7.752E-03    1.065E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
71.00   72.00   72.00   -1.000E-02   8.000E+00   7.962E-03    1.035E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
72.00   73.00   73.00   -1.000E-02   8.000E+00   8.164E-03    1.006E-10     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
73.00   74.00   74.00   -1.000E-02   8.000E+00   8.353E-03    9.778E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
74.00   75.00   75.00   -1.000E-02   8.000E+00   8.524E-03    9.510E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
75.00   76.00   76.00   -1.000E-02   8.000E+00   8.664E-03    9.253E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.001    0.000 
76.00   77.00   77.00   -1.000E-02   8.000E+00   8.753E-03    9.006E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
77.00   78.00   78.00   -1.000E-02   8.000E+00   8.750E-03    8.769E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
78.00   79.00   79.00   -1.000E-02   8.000E+00   8.606E-03    8.541E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
79.00   80.00   80.00   -1.000E-02   8.000E+00   8.260E-03    8.322E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
80.00   81.00   81.00   -1.000E-02   8.000E+00   7.739E-03    8.110E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
81.00   82.00   82.00   -1.000E-02   8.000E+00   7.219E-03    7.907E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
82.00   83.00   83.00   -1.000E-02   8.000E+00   6.869E-03    7.711E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
83.00   84.00   84.00   -1.000E-02   8.000E+00   6.642E-03    7.522E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
84.00   85.00   85.00   -1.000E-02   8.000E+00   6.483E-03    7.339E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
85.00   86.00   86.00   -1.000E-02   8.000E+00   6.174E-03    7.164E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
86.00   87.00   87.00   -1.000E-02   8.000E+00   6.101E-03    6.994E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
87.00   88.00   88.00   -1.000E-02   8.000E+00   6.044E-03    6.830E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
88.00   89.00   89.00   -1.000E-02   8.000E+00   5.990E-03    6.672E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
89.00   90.00   90.00   -1.000E-02   8.000E+00   5.921E-03    6.520E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
90.00   91.00   91.00   -1.000E-02   8.000E+00   5.815E-03    6.372E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
91.00   92.00   92.00   -1.000E-02   8.000E+00   5.668E-03    6.229E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
92.00   93.00   93.00   -1.000E-02   8.000E+00   5.530E-03    6.091E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
93.00   94.00   94.00   -1.000E-02   8.000E+00   5.439E-03    5.958E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
94.00   95.00   95.00   -1.000E-02   8.000E+00   5.385E-03    5.829E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
95.00   96.00   96.00   -1.000E-02   8.000E+00   5.359E-03    5.704E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
96.00   97.00   97.00   -1.000E-02   8.000E+00   5.350E-03    5.583E-11     0.000E+00      0.000E+00     0.000E+00     4.255E-03      1      1    -0.005      2        1    -0.000    0.000 
